utente,tipo_evento,cod_2
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,2,3
3124,2,3
3124,1,1
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,2,3
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3124,2,3
3124,2,3
3124,1,1
3124,1,1
3124,1,1
3124,1,1
3125,1,1
3125,1,1
3125,1,1
3125,2,3
3125,2,3
3125,2,3
3125,2,3
3125,2,3
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,2,3
3127,1,1
3127,2,3
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,2,3
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,2,3
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3127,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,2,3
3128,1,1
3128,2,3
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,2,3
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3128,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3129,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,2,3
3130,2,3
3130,2,3
3130,2,3
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3130,2,3
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,2,3
3130,2,3
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,1,1
3130,2,3
3131,1,1
3131,1,1
3131,1,1
3131,1,1
3131,3,1
3131,2,3
3131,2,3
3131,1,1
3131,1,1
3131,1,1
3131,2,3
3131,1,1
3131,1,1
3131,1,1
3131,1,1
3131,3,1
3131,2,3
3131,1,1
3131,1,1
3131,1,1
3131,2,3
3131,2,3
3131,3,1
3133,2,3
3133,1,1
3133,2,3
3133,1,1
3133,2,3
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,1,1
3133,2,3
3133,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,2,3
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3134,1,1
3135,1,1
3135,1,1
3135,2,3
3135,1,1
3135,3,1
3135,1,1
3135,1,1
3135,1,1
3135,1,1
3135,3,1
3135,1,1
3135,1,1
3135,1,1
3135,1,1
3135,3,1
